,time,Open,High,Low,Close,symbol,minute,hour,weekday,week,month,year,day,macd,boll_ub,boll_lb,rsi_30,dx_30,close_30_sma,close_60_sma
0,2017-08-14 00:00:00,1.18209,1.18221,1.18208,1.18221,GBPUSD,0,0,0,33,8,2017,14,-0.00011612232223656847,1.182734132012849,1.1820558679871511,50.54648565140521,23.587011416445392,1.1825086666666669,1.1826788333333336
1,2017-08-14 00:05:00,1.18221,1.18236,1.18219,1.18233,GBPUSD,5,0,0,33,8,2017,14,-0.00011783473034889917,1.1826845174226663,1.1820684825773335,51.59275533015603,23.08623485990026,1.1824750000000002,1.1826926666666668
2,2017-08-14 00:10:00,1.18233,1.18272,1.18225,1.18261,GBPUSD,10,0,0,33,8,2017,14,-0.00011251633037312119,1.1826593065798467,1.182083693420153,53.94469503822038,22.990072558940238,1.1824496666666666,1.1827119999999998
3,2017-08-14 00:15:00,1.18261,1.1827,1.18241,1.18264,GBPUSD,15,0,0,33,8,2017,14,-0.00010233487545678596,1.1826903709341383,1.1820706290658618,54.191383861467685,22.89711566801222,1.1824433333333333,1.1827328333333333
4,2017-08-14 00:20:00,1.18264,1.18264,1.18211,1.18246,GBPUSD,20,0,0,33,8,2017,14,-9.227763359799244e-05,1.1826869234286783,1.1820710765713214,52.4476882731122,22.375575386859623,1.1824456666666665,1.1827539999999999
5,2017-08-14 00:25:00,1.18242,1.18249,1.18207,1.18224,GBPUSD,25,0,0,33,8,2017,14,-8.612511543143242e-05,1.1826815379910096,1.1820564620089904,50.39736795523019,21.816142751515883,1.182443,1.1827603333333334
6,2017-08-14 00:30:00,1.18214,1.18242,1.18199,1.18226,GBPUSD,30,0,0,33,8,2017,14,-8.222714271841448e-05,1.182635781047103,1.1820632189528972,50.57906042744629,21.163030021509627,1.1824343333333334,1.1827788333333333
7,2017-08-14 00:35:00,1.18226,1.18235,1.18214,1.18235,GBPUSD,35,0,0,33,8,2017,14,-7.832330386164124e-05,1.1826255296488717,1.1820624703511284,51.40764328811394,20.53168771583691,1.182424,1.182792
8,2017-08-14 00:40:00,1.18235,1.18235,1.18221,1.18234,GBPUSD,40,0,0,33,8,2017,14,-7.46014634101335e-05,1.1826267641826156,1.1820692358173843,51.308765836752706,19.92139015368662,1.1824116666666666,1.1827978333333333
9,2017-08-14 00:45:00,1.18227,1.18235,1.18215,1.18222,GBPUSD,45,0,0,33,8,2017,14,-7.293329914873341e-05,1.1826265938861533,1.1820574061138462,50.11225128281292,19.27559806697878,1.1823970000000001,1.1827996666666667
10,2017-08-14 00:50:00,1.18222,1.1823,1.18219,1.18223,GBPUSD,50,0,0,33,8,2017,14,-7.231401336287511e-05,1.182620940604454,1.1820460593955457,50.212341154603415,18.651332383161204,1.182386,1.1828076666666667
11,2017-08-14 00:55:00,1.18225,1.18229,1.18223,1.18227,GBPUSD,55,0,0,33,8,2017,14,-7.158161336730363e-05,1.1826139879807402,1.18204001201926,50.62227198121588,18.04787555547088,1.1823716666666668,1.1828118333333333
12,2017-08-14 01:00:00,1.1823,1.18241,1.18217,1.1823,GBPUSD,0,1,0,33,8,2017,14,-7.017492773947567e-05,1.1826021720192685,1.1820378279807315,50.935700848468436,17.63668251339515,1.182358,1.1827943333333335
13,2017-08-14 01:05:00,1.18229,1.18242,1.18226,1.18228,GBPUSD,5,1,0,33,8,2017,14,-6.857849918935417e-05,1.1825929185617827,1.1820340814382169,50.71369463021284,17.25636118155789,1.182352,1.1827831666666666
14,2017-08-14 01:10:00,1.18232,1.18232,1.18199,1.18201,GBPUSD,10,1,0,33,8,2017,14,-7.109821891010229e-05,1.1826101851444555,1.1819888148555446,47.80389451043163,16.939309087644183,1.1823359999999998,1.1827676666666667
15,2017-08-14 01:15:00,1.18203,1.18223,1.18198,1.18214,GBPUSD,15,1,0,33,8,2017,14,-7.382965145592427e-05,1.1826074854283923,1.1819715145716077,49.25413949581573,16.648113184967002,1.182326,1.1827528333333333
16,2017-08-14 01:20:00,1.18215,1.18221,1.18201,1.18218,GBPUSD,20,1,0,33,8,2017,14,-7.574414594336506e-05,1.1826038048987073,1.1819611951012925,49.698995875111535,16.366623812379064,1.1823103333333334,1.1827303333333334
17,2017-08-14 01:25:00,1.18217,1.1822,1.18212,1.18219,GBPUSD,25,1,0,33,8,2017,14,-7.67140581282862e-05,1.1825985430899024,1.1819524569100976,49.81277841404901,16.094517418877388,1.1823013333333334,1.1827005
18,2017-08-14 01:30:00,1.1822,1.1822,1.18193,1.18201,GBPUSD,30,1,0,33,8,2017,14,-7.973802804184309e-05,1.1826067077035707,1.1819182922964293,47.799436635268435,16.143339847668333,1.182293,1.1826666666666668
19,2017-08-14 01:35:00,1.18202,1.18207,1.18193,1.18204,GBPUSD,35,1,0,33,8,2017,14,-8.323054847241323e-05,1.1826002567790084,1.181930743220992,48.16068674322781,16.19053486216625,1.1822830000000002,1.1826365
20,2017-08-14 01:40:00,1.18205,1.18211,1.18185,1.18192,GBPUSD,40,1,0,33,8,2017,14,-8.855849425634373e-05,1.1826193190779717,1.1818826809220282,46.819939562598755,16.354361775397194,1.182267,1.182602333333333
21,2017-08-14 01:45:00,1.18193,1.18221,1.18193,1.18203,GBPUSD,45,1,0,33,8,2017,14,-9.280072089470114e-05,1.1826150514421951,1.181856948557805,48.18773605751087,16.30451040940822,1.1822546666666667,1.1825696666666667
22,2017-08-14 01:50:00,1.182,1.18212,1.1819,1.18192,GBPUSD,50,1,0,33,8,2017,14,-9.76835294165638e-05,1.1825623921635704,1.1818406078364299,46.93883446830845,16.300646125156504,1.1822373333333334,1.1825374999999998
23,2017-08-14 01:55:00,1.18192,1.18216,1.18191,1.18214,GBPUSD,55,1,0,33,8,2017,14,-9.897926532887732e-05,1.1824730254866855,1.1818799745133148,49.639288595236025,16.21616694163194,1.1822283333333334,1.1825115000000002
24,2017-08-14 02:00:00,1.18213,1.18228,1.18208,1.18218,GBPUSD,0,2,0,33,8,2017,14,-9.709499859976266e-05,1.1824274230196865,1.1818975769803135,50.11679035427784,15.905926582094251,1.1822246666666667,1.182493
