,time,Open,High,Low,Close,symbol,minute,hour,weekday,week,month,year,day,macd,boll_ub,boll_lb,rsi_30,dx_30,close_30_sma,close_60_sma
0,2017-08-21 00:00:00,1.17597,1.17597,1.17597,1.17597,GBPUSD,0,0,0,34,8,2017,21,0.00015765834875060698,1.1765871344956425,1.1759808655043573,52.6561033811992,15.582753282071362,1.1762219999999999,1.1756108333333335
1,2017-08-21 00:05:00,1.17597,1.17597,1.17592,1.17595,GBPUSD,5,0,0,34,8,2017,21,0.00013481828860470227,1.1765964003890648,1.1759285996109352,52.43124312190371,15.325829209410008,1.176232,1.1756268333333333
2,2017-08-21 00:10:00,1.17595,1.17598,1.17537,1.17569,GBPUSD,10,0,0,34,8,2017,21,0.00010858653981704426,1.1766434186174373,1.1758125813825624,49.58370483433295,15.654243962351302,1.17623,1.1756416666666667
3,2017-08-21 00:15:00,1.17561,1.17601,1.17561,1.17568,GBPUSD,15,0,0,34,8,2017,21,8.119702306550316e-05,1.1766799134849628,1.175717086515037,49.47679175041119,15.928786041059121,1.1762283333333334,1.1756621666666667
4,2017-08-21 00:20:00,1.17569,1.17597,1.17569,1.17578,GBPUSD,20,0,0,34,8,2017,21,5.592802066643252e-05,1.1766704747240218,1.1756625252759785,50.579156441541926,16.194176717143343,1.1762299999999999,1.1756799999999998
5,2017-08-21 00:25:00,1.17578,1.17578,1.17573,1.17578,GBPUSD,25,0,0,34,8,2017,21,3.3185287170963e-05,1.1766483847559674,1.1756186152440329,50.579156441541926,16.450721037358093,1.1762276666666667,1.1756935
6,2017-08-21 00:30:00,1.17568,1.176,1.1756,1.17581,GBPUSD,30,0,0,34,8,2017,21,1.3621178249160309e-05,1.1766490806132055,1.1755809193867945,50.92293652351817,16.3489436772148,1.1762036666666666,1.1757095
7,2017-08-21 00:35:00,1.17581,1.1759,1.17577,1.17581,GBPUSD,35,0,0,34,8,2017,21,-2.9560928727051837e-06,1.1766350162500792,1.1755469837499208,50.92293652351817,16.250558895742948,1.1761796666666666,1.1757279999999999
8,2017-08-21 00:40:00,1.17581,1.17587,1.17579,1.17582,GBPUSD,40,0,0,34,8,2017,21,-1.6625982288196483e-05,1.1766172425371013,1.1755187574628985,51.04441464387765,16.155453606986825,1.1761546666666665,1.1757404999999999
9,2017-08-21 00:45:00,1.17584,1.17584,1.17578,1.17579,GBPUSD,45,0,0,34,8,2017,21,-2.8197721485863554e-05,1.1765966260409655,1.1754903739590346,50.65528993250144,16.076426901542103,1.1761389999999998,1.1757453333333332
10,2017-08-21 00:50:00,1.17578,1.17582,1.17578,1.17578,GBPUSD,50,0,0,34,8,2017,21,-3.794304693326327e-05,1.1765527894290566,1.175473210570943,50.52248100942232,16.000034419612202,1.1761190000000001,1.1757578333333334
11,2017-08-21 00:55:00,1.17578,1.17579,1.17577,1.17578,GBPUSD,55,0,0,34,8,2017,21,-4.5946265683073717e-05,1.1764989383515485,1.1754650616484517,50.52248100942232,15.940650779011891,1.176099,1.1757721666666667
12,2017-08-21 01:00:00,1.17579,1.17595,1.17569,1.17586,GBPUSD,0,1,0,34,8,2017,21,-5.105694964366533e-05,1.1764608062744042,1.1754611937255954,51.60867272082529,15.595130722721013,1.1760816666666665,1.1757891666666667
13,2017-08-21 01:05:00,1.17586,1.17586,1.17569,1.17582,GBPUSD,5,1,0,34,8,2017,21,-5.4608545860126044e-05,1.1764050055949702,1.1754649944050297,51.02922955793897,15.26112800163983,1.1760666666666666,1.1758061666666666
