,time,Open,High,Low,Close,symbol,minute,hour,weekday,week,month,year,day,macd,boll_ub,boll_lb,rsi_30,dx_30,close_30_sma,close_60_sma
0,2017-09-25 00:00:00,1.19004,1.19005,1.18957,1.18983,GBPUSD,0,0,0,39,9,2017,25,-8.623135811203277e-05,1.1964321174703079,1.1921508825296918,24.307480554246723,18.013301222436,1.1943426666666668,1.1945629999999998
1,2017-09-25 00:05:00,1.18983,1.19064,1.1898,1.19063,GBPUSD,5,0,0,39,9,2017,25,-0.0001879338167956051,1.1968112703277844,1.1914187296722156,30.147647524595797,18.64731008563401,1.1942103333333334,1.1944805
2,2017-09-25 00:10:00,1.19064,1.19088,1.1902,1.19066,GBPUSD,10,0,0,39,9,2017,25,-0.00030393685567422547,1.1970415969841313,1.1908304030158685,30.3561013656241,19.16754777678779,1.1940796666666669,1.1943956666666666
3,2017-09-25 00:15:00,1.1907,1.19084,1.19068,1.19077,GBPUSD,15,0,0,39,9,2017,25,-0.0004203744308576689,1.197160522014255,1.190353477985745,31.13560525634476,19.670444211569773,1.1939486666666668,1.1943176666666668
4,2017-09-25 00:20:00,1.19072,1.19079,1.1907,1.19073,GBPUSD,20,0,0,39,9,2017,25,-0.0005306605731607452,1.197215281342912,1.1899287186570882,31.005060821300972,20.156577431859027,1.1938136666666666,1.1942415
5,2017-09-25 00:25:00,1.19073,1.19085,1.19073,1.19075,GBPUSD,25,0,0,39,9,2017,25,-0.0006297811635818455,1.1972190552849435,1.1895599447150562,31.154364574238173,20.599897731162027,1.1936966666666666,1.1941685
6,2017-09-25 00:30:00,1.19071,1.19099,1.19068,1.19098,GBPUSD,30,0,0,39,9,2017,25,-0.0007116024229241903,1.1971606712820524,1.1892753287179474,32.88223849209645,20.965281143276997,1.1935776666666666,1.1940965000000001
7,2017-09-25 00:35:00,1.19099,1.19107,1.19085,1.19089,GBPUSD,35,0,0,39,9,2017,25,-0.0007781056026438329,1.1970774990601456,1.1890095009398542,32.55153028211488,21.28165308581404,1.1934603333333333,1.194029
8,2017-09-25 00:40:00,1.19096,1.19096,1.19026,1.19067,GBPUSD,40,0,0,39,9,2017,25,-0.0008332580116912357,1.1969761523112565,1.1887418476887432,31.744199684804883,21.72354618955765,1.1933423333333335,1.1939561666666667
9,2017-09-25 00:45:00,1.19067,1.19079,1.19067,1.19073,GBPUSD,45,0,0,39,9,2017,25,-0.0008755483686482498,1.1967867266433108,1.1885342733566895,32.2184887111563,22.150709523176474,1.1932246666666666,1.1938896666666667
10,2017-09-25 00:50:00,1.19073,1.19113,1.19067,1.19111,GBPUSD,50,0,0,39,9,2017,25,-0.0008995018802411453,1.1965471883920717,1.1884158116079282,35.16993947922347,22.407487473844938,1.193125,1.1938406666666668
11,2017-09-25 00:55:00,1.19113,1.19154,1.19109,1.19144,GBPUSD,55,0,0,39,9,2017,25,-0.0009033914257440637,1.1963036558719977,1.188353344128002,37.610499021059844,22.479125160498352,1.1930343333333333,1.1937905
12,2017-09-25 01:00:00,1.19149,1.19218,1.1913,1.19208,GBPUSD,0,1,0,39,9,2017,25,-0.0008822315315954862,1.1960387911231671,1.188370208876833,41.99169281077761,22.29930129448796,1.1929623333333332,1.1937509999999998
13,2017-09-25 01:05:00,1.19206,1.19227,1.19177,1.19179,GBPUSD,5,1,0,39,9,2017,25,-0.0008490963670871536,1.1956692930960624,1.1884287069039379,40.65349558125362,22.092326114421564,1.192877,1.1937115
14,2017-09-25 01:10:00,1.19181,1.19202,1.19176,1.19184,GBPUSD,10,1,0,39,9,2017,25,-0.0008074593520207957,1.195267895203168,1.1885281047968324,40.98891300696699,21.89496222682271,1.1927906666666668,1.1936716666666667
15,2017-09-25 01:15:00,1.19183,1.19201,1.19183,1.19201,GBPUSD,15,1,0,39,9,2017,25,-0.000758123608956916,1.1949554639134592,1.1886095360865407,42.139124369323696,21.70417713547715,1.1927109999999999,1.1936341666666666
16,2017-09-25 01:20:00,1.19204,1.19235,1.19204,1.19225,GBPUSD,20,1,0,39,9,2017,25,-0.0007009917366216177,1.1945710378416234,1.188762962158377,43.74061569655849,21.38922650585194,1.192639,1.1936010000000001
17,2017-09-25 01:25:00,1.19227,1.19247,1.1922,1.19236,GBPUSD,25,1,0,39,9,2017,25,-0.0006386156609300935,1.19408546186748,1.1890075381325196,44.46936297394288,21.03964797762221,1.1925716666666666,1.1935661666666666
18,2017-09-25 01:30:00,1.19236,1.19239,1.19224,1.1923,GBPUSD,30,1,0,39,9,2017,25,-0.0005757242078186365,1.193515474636683,1.189334525363317,44.146690481356245,20.701722067000137,1.192503,1.1935271666666667
19,2017-09-25 01:35:00,1.19231,1.19244,1.19229,1.19241,GBPUSD,35,1,0,39,9,2017,25,-0.0005127394223385703,1.192824632337162,1.189798367662838,44.90488186724895,20.35486233373041,1.1924266666666665,1.1934901666666666
20,2017-09-25 01:40:00,1.19241,1.19246,1.1923,1.1923,GBPUSD,40,1,0,39,9,2017,25,-0.000453584253365262,1.1928382068520977,1.1900317931479023,44.28302494856085,20.011260664557568,1.192347,1.1934495
21,2017-09-25 01:45:00,1.1923,1.19234,1.19223,1.19225,GBPUSD,45,1,0,39,9,2017,25,-0.0003996943360668881,1.192910551803605,1.190121448196395,43.99653069177697,19.70357321517378,1.192272,1.1934073333333333
22,2017-09-25 01:50:00,1.19225,1.19235,1.19223,1.19233,GBPUSD,50,1,0,39,9,2017,25,-0.0003497422375090205,1.192978141206061,1.1902208587939394,44.58988071707325,19.40168122096999,1.1921976666666665,1.1933645
23,2017-09-25 01:55:00,1.19232,1.19241,1.19217,1.19221,GBPUSD,55,1,0,39,9,2017,25,-0.0003059942556074621,1.1930177661801016,1.1903252338198984,43.86866535077443,19.109852293239665,1.1921080000000002,1.1933241666666667
24,2017-09-25 02:00:00,1.19222,1.1925,1.1922,1.19237,GBPUSD,0,2,0,39,9,2017,25,-0.0002651781059762876,1.1930574256502482,1.1904495743497516,45.09360194300582,18.785359710505272,1.1920250000000001,1.1932786666666666
25,2017-09-25 02:05:00,1.19237,1.19239,1.19212,1.19213,GBPUSD,5,2,0,39,9,2017,25,-0.0002315638873078059,1.1930464345511878,1.1905985654488123,43.61662139023035,18.50418537350752,1.191952,1.1932346666666667
26,2017-09-25 02:10:00,1.19213,1.19234,1.19213,1.19229,GBPUSD,10,2,0,39,9,2017,25,-0.0002011453248371972,1.193061256375409,1.190714743624591,44.86211625521482,18.232383514409694,1.1918763333333333,1.193188
27,2017-09-25 02:15:00,1.19227,1.19227,1.19184,1.19191,GBPUSD,15,2,0,39,9,2017,25,-0.0001799285562501518,1.193014172444587,1.190863827555413,42.55268678889756,18.09485392810946,1.191781,1.1931393333333333
28,2017-09-25 02:20:00,1.19189,1.192,1.19184,1.19189,GBPUSD,20,2,0,39,9,2017,25,-0.00016550050661288032,1.1928954387318211,1.1911045612681788,42.43375278378574,17.961908661352567,1.1916863333333334,1.1930911666666666
29,2017-09-25 02:25:00,1.1919,1.19221,1.19189,1.19216,GBPUSD,25,2,0,39,9,2017,25,-0.00015139893525766655,1.1927394197842853,1.1914035802157146,44.59634434493766,17.713050118337655,1.1916023333333332,1.193051833333333
30,2017-09-25 02:30:00,1.19214,1.19216,1.19199,1.19213,GBPUSD,30,2,0,39,9,2017,25,-0.00013837478551716434,1.1926136801002434,1.1916313198997566,44.40460319553974,17.472486860089912,1.191679,1.1930108333333334
31,2017-09-25 02:35:00,1.19211,1.19248,1.19211,1.19234,GBPUSD,35,2,0,39,9,2017,25,-0.0001230428787455071,1.1925477976622738,1.1917872023377263,46.08325652590419,16.958233979804273,1.191736,1.1929731666666668
32,2017-09-25 02:40:00,1.19232,1.19264,1.1923,1.19245,GBPUSD,40,2,0,39,9,2017,25,-0.00010503281309845726,1.1925839632306945,1.1917880367693054,46.95120580377712,16.459157214171757,1.1917956666666667,1.1929376666666667
33,2017-09-25 02:45:00,1.19245,1.19252,1.19233,1.19251,GBPUSD,45,2,0,39,9,2017,25,-8.509159077003883e-05,1.1925988344552605,1.1918451655447393,47.428736103517586,15.97671634072699,1.1918536666666666,1.1929011666666665
34,2017-09-25 02:50:00,1.19251,1.19263,1.19231,1.19252,GBPUSD,50,2,0,39,9,2017,25,-6.463182356505286e-05,1.1926097111464105,1.1919022888535895,47.5102013413456,15.600188102805454,1.1919133333333334,1.1928635
35,2017-09-25 02:55:00,1.19252,1.19268,1.19252,1.19265,GBPUSD,55,2,0,39,9,2017,25,-4.26981942087408e-05,1.1926631546997992,1.1919128453002008,48.58174012699751,15.276585114922781,1.1919766666666667,1.1928366666666668
36,2017-09-25 03:00:00,1.19264,1.19282,1.19254,1.19268,GBPUSD,0,3,0,39,9,2017,25,-2.0414623403675613e-05,1.192722829225658,1.1918961707743418,48.83110780561475,15.075494319571428,1.1920333333333333,1.1928054999999997
37,2017-09-25 03:05:00,1.19267,1.19297,1.19267,1.19295,GBPUSD,5,3,0,39,9,2017,25,5.274363682347801e-06,1.192841997327968,1.191836002672032,51.041730442649666,14.995003876397822,1.192102,1.1927811666666668
38,2017-09-25 03:10:00,1.19292,1.19296,1.19285,1.19291,GBPUSD,10,3,0,39,9,2017,25,3.1100942587414354e-05,1.192932891045225,1.1918061089547747,50.706002525555775,14.917196447996666,1.1921766666666664,1.1927595000000002
39,2017-09-25 03:15:00,1.19292,1.1934,1.19292,1.19327,GBPUSD,15,3,0,39,9,2017,25,6.133259384083276e-05,1.193105316521888,1.1917196834781123,53.55052051252362,15.15662413943912,1.1922613333333334,1.192743
40,2017-09-25 03:20:00,1.19326,1.19347,1.19326,1.19338,GBPUSD,20,3,0,39,9,2017,25,9.43556623549818e-05,1.1932802056213814,1.1916527943786184,54.38258833381956,15.434766883604228,1.192337,1.192731
41,2017-09-25 03:25:00,1.19338,1.19346,1.19319,1.19335,GBPUSD,25,3,0,39,9,2017,25,0.00012670352519047556,1.1934180730054273,1.1916249269945727,54.10912430552008,15.626849352674727,1.1924006666666667,1.1927175
42,2017-09-25 03:30:00,1.19334,1.19334,1.19295,1.19304,GBPUSD,30,3,0,39,9,2017,25,0.0001516978018561062,1.1934775513201399,1.1916364486798603,51.3489555026609,15.54742530264352,1.1924326666666667,1.1926975
43,2017-09-25 03:35:00,1.19304,1.1932,1.1929,1.19318,GBPUSD,35,3,0,39,9,2017,25,0.0001726606201471063,1.1935509483739217,1.1916600516260782,52.48140368584872,15.416642528889499,1.1924789999999998,1.192678
44,2017-09-25 03:40:00,1.19317,1.19332,1.19301,1.19301,GBPUSD,40,3,0,39,9,2017,25,0.00018689191366575507,1.1935926604970486,1.1916823395029514,50.99046666091507,15.3906316551825,1.192518,1.1926543333333333
45,2017-09-25 03:45:00,1.19302,1.19329,1.1929,1.19326,GBPUSD,45,3,0,39,9,2017,25,0.0001997206294591265,1.1936564180054587,1.191731581994541,53.02082900627052,15.248941966938833,1.192559666666667,1.1926353333333333
46,2017-09-25 03:50:00,1.19326,1.19342,1.19285,1.19304,GBPUSD,50,3,0,39,9,2017,25,0.00020703255900250873,1.1936860519733705,1.1917769480266296,51.09389037279524,15.215530921124973,1.192586,1.1926125
47,2017-09-25 03:55:00,1.19303,1.19303,1.19278,1.1928,GBPUSD,55,3,0,39,9,2017,25,0.00020620244146387788,1.193648778983523,1.191903221016477,49.08088215502899,15.110398764260516,1.1926006666666666,1.1925861666666664
48,2017-09-25 04:00:00,1.19279,1.19322,1.1926,1.19265,GBPUSD,0,4,0,39,9,2017,25,0.0001974494232172409,1.1935845473081401,1.19204345269186,47.86170171624432,15.15035001074893,1.1926123333333332,1.1925576666666664
49,2017-09-25 04:05:00,1.19264,1.19265,1.19184,1.19195,GBPUSD,5,4,0,39,9,2017,25,0.00017257121363555247,1.1936161441549056,1.1919908558450942,42.73677762770498,14.708454257964831,1.1925970000000001,1.1925118333333333
50,2017-09-25 04:10:00,1.19196,1.1925,1.19196,1.19243,GBPUSD,10,4,0,39,9,2017,25,0.00014615499833218386,1.1935887706266586,1.1920482293733414,46.779247277023906,14.281288363606867,1.1926013333333332,1.1924741666666667
51,2017-09-25 04:15:00,1.19244,1.19263,1.19243,1.19252,GBPUSD,15,4,0,39,9,2017,25,0.00012126235312604527,1.1935781874017428,1.192076812598257,47.49814998637149,13.832159239883554,1.1926103333333333,1.1924411666666666
52,2017-09-25 04:20:00,1.19253,1.19281,1.19252,1.1928,GBPUSD,20,4,0,39,9,2017,25,0.00010282042077088197,1.1935746574512671,1.1921153425487327,49.68551334339528,13.516935697558734,1.192626,1.1924118333333333
53,2017-09-25 04:25:00,1.1928,1.19282,1.19253,1.19263,GBPUSD,25,4,0,39,9,2017,25,8.64418275779449e-05,1.1935709678328927,1.192131032167107,48.41852668230582,13.218762352991714,1.19264,1.192374
