,time,Open,High,Low,Close,symbol,minute,hour,weekday,week,month,year,day,macd,boll_ub,boll_lb,rsi_30,dx_30,close_30_sma,close_60_sma
0,2017-08-07 00:00:00,1.17736,1.17736,1.17726,1.17735,GBPUSD,0,0,0,32,8,2017,7,0.0002636784151432914,1.178330585125643,1.1770544148743571,49.988820650026845,22.484021219153448,1.177424,1.1764596666666667
1,2017-08-07 00:05:00,1.17735,1.17739,1.17727,1.17731,GBPUSD,5,0,0,32,8,2017,7,0.00023123739395826707,1.178338677439194,1.1770253225608063,49.6875787933299,21.86066214756363,1.1774553333333335,1.1764951666666665
2,2017-08-07 00:10:00,1.17731,1.17738,1.17724,1.17727,GBPUSD,10,0,0,32,8,2017,7,0.00020076952134934453,1.1783472919881093,1.177000708011891,49.37974624647244,21.229928073992088,1.1774886666666666,1.176547
3,2017-08-07 00:15:00,1.17727,1.17731,1.17697,1.17714,GBPUSD,15,0,0,32,8,2017,7,0.00017060388784484654,1.1783352289934494,1.1769327710065502,48.37219052538073,20.66695245978828,1.177505,1.1765958333333333
4,2017-08-07 00:20:00,1.17714,1.17721,1.17696,1.17721,GBPUSD,20,0,0,32,8,2017,7,0.00014293699265715155,1.1783120040202097,1.1768859959797904,48.952385041851045,20.131518957944337,1.177536,1.1766373333333333
5,2017-08-07 00:25:00,1.17718,1.17721,1.17709,1.17714,GBPUSD,25,0,0,32,8,2017,7,0.0001168440111646886,1.1783154466628756,1.1768325533371242,48.389827115105035,19.613933239495196,1.177561,1.1766673333333333
6,2017-08-07 00:30:00,1.17705,1.17731,1.17705,1.17731,GBPUSD,30,0,0,32,8,2017,7,9.555130506671284e-05,1.1783033736726334,1.1768066263273669,49.83807118224001,19.003765426338365,1.1775689999999999,1.1767006666666666
7,2017-08-07 00:35:00,1.1773,1.17734,1.17712,1.17726,GBPUSD,35,0,0,32,8,2017,7,7.736801587738152e-05,1.1782408225482428,1.1767921774517573,49.41616121133869,18.380966137887185,1.177572,1.1767286666666668
8,2017-08-07 00:40:00,1.17727,1.17734,1.17705,1.17709,GBPUSD,40,0,0,32,8,2017,7,5.919825896234876e-05,1.1781243933402405,1.1767946066597597,47.987309568180265,17.857109030972584,1.177559,1.1767576666666666
9,2017-08-07 00:45:00,1.17708,1.1773,1.17706,1.17724,GBPUSD,45,0,0,32,8,2017,7,4.424771008274604e-05,1.1780089901198163,1.1768220098801836,49.32476554130788,17.350713827621803,1.1775526666666667,1.1767915
