,time,Open,High,Low,Close,symbol,minute,hour,weekday,week,month,year,day,macd,boll_ub,boll_lb,rsi_30,dx_30,close_30_sma,close_60_sma
0,2017-11-27 00:00:00,1.19239,1.19295,1.19239,1.1929,GBPUSD,0,0,0,48,11,2017,27,0.00015153757829174886,1.1938775054337973,1.1923544945662028,52.29935610857205,34.740124500160114,1.1929453333333333,1.1928459999999999
1,2017-11-27 00:05:00,1.1929,1.19305,1.19279,1.19287,GBPUSD,5,0,0,48,11,2017,27,0.0001335957519650939,1.1938582703105816,1.1924037296894183,51.953609628581624,33.97630027282684,1.1929576666666668,1.192839
2,2017-11-27 00:10:00,1.19286,1.19289,1.19272,1.19272,GBPUSD,10,0,0,48,11,2017,27,0.00011240205854288697,1.1938497270593027,1.1924222729406972,50.23582686208054,33.18022748724993,1.1929599999999998,1.192827
3,2017-11-27 00:15:00,1.19265,1.19313,1.19237,1.19305,GBPUSD,15,0,0,48,11,2017,27,9.528993649138016e-05,1.193833903889653,1.1924780961103467,53.71844900437416,32.14797877321923,1.1929706666666666,1.1928176666666668
4,2017-11-27 00:20:00,1.19304,1.19312,1.19269,1.19281,GBPUSD,20,0,0,48,11,2017,27,7.758686514671494e-05,1.193806755933707,1.1925312440662932,51.03156445661303,31.150138349656213,1.1929803333333333,1.1928083333333332
5,2017-11-27 00:25:00,1.19281,1.19294,1.19247,1.19274,GBPUSD,25,0,0,48,11,2017,27,5.914777720989412e-05,1.193814065583273,1.1925139344167268,50.272865931355724,30.18850349699343,1.1929833333333333,1.1928026666666667
6,2017-11-27 00:30:00,1.19276,1.19325,1.19268,1.19309,GBPUSD,30,0,0,48,11,2017,27,4.666321162627836e-05,1.1938148550629648,1.1925241449370352,53.82379392800994,29.30472110785745,1.1930006666666666,1.1928023333333333
7,2017-11-27 00:35:00,1.19309,1.19313,1.19299,1.1931,GBPUSD,35,0,0,48,11,2017,27,3.861847611430808e-05,1.193815673072061,1.192527326927939,53.92104765303599,28.45039813169268,1.193017,1.1928036666666666
8,2017-11-27 00:40:00,1.19309,1.1934,1.193,1.1934,GBPUSD,40,0,0,48,11,2017,27,3.847656387381525e-05,1.1938352221121775,1.1925307778878227,56.748123516641286,27.79005165316253,1.1930446666666665,1.1928108333333332
9,2017-11-27 00:45:00,1.19339,1.1934,1.19329,1.19337,GBPUSD,45,0,0,48,11,2017,27,4.2729099080205205e-05,1.193806090996561,1.192539909003439,56.39022331940555,27.151716723916724,1.1930683333333334,1.1928215
10,2017-11-27 00:50:00,1.19336,1.19354,1.19333,1.19347,GBPUSD,50,0,0,48,11,2017,27,5.101111722458449e-05,1.1937998468974658,1.1925421531025342,57.31844700800365,26.61926049652516,1.193098,1.1928391666666667
11,2017-11-27 00:55:00,1.19347,1.19353,1.19337,1.19349,GBPUSD,55,0,0,48,11,2017,27,6.158740379842722e-05,1.1937203853030058,1.1925866146969941,57.50558153665226,26.10455281004665,1.1931286666666665,1.1928515
12,2017-11-27 01:00:00,1.1935,1.19359,1.19319,1.19321,GBPUSD,0,1,0,48,11,2017,27,6.843966033948112e-05,1.1936829388504937,1.1925950611495062,54.07207377839861,25.47301673066979,1.1931483333333333,1.1928553333333334
13,2017-11-27 01:05:00,1.19322,1.19322,1.1929,1.19302,GBPUSD,5,1,0,48,11,2017,27,6.941123353052534e-05,1.1936294211353395,1.1925985788646605,51.896927317656726,24.663555390472602,1.1931606666666668,1.1928625
14,2017-11-27 01:10:00,1.19302,1.19302,1.19279,1.19279,GBPUSD,10,1,0,48,11,2017,27,6.281825894223665e-05,1.193581829885861,1.192576170114139,49.408010744501276,23.873372000913363,1.1931686666666665,1.1928656666666666
15,2017-11-27 01:15:00,1.19278,1.19295,1.19269,1.19275,GBPUSD,15,1,0,48,11,2017,27,5.104823482070669e-05,1.1935419070903703,1.1925490929096292,48.98535153581767,23.17429451868027,1.1931656666666666,1.1928678333333336
16,2017-11-27 01:20:00,1.19276,1.19276,1.19262,1.19262,GBPUSD,20,1,0,48,11,2017,27,3.4459917134103115e-05,1.193559811951414,1.192505188048586,47.61588493579845,22.54485115754344,1.1931536666666667,1.1928673333333333
17,2017-11-27 01:25:00,1.19261,1.19261,1.19241,1.19253,GBPUSD,25,1,0,48,11,2017,27,1.4206734853215317e-05,1.1935598910331036,1.1924341089668966,46.681232918920095,22.073184493300065,1.193136,1.192863
18,2017-11-27 01:30:00,1.19253,1.19291,1.19253,1.19278,GBPUSD,30,1,0,48,11,2017,27,-3.3255843070293322e-06,1.1935582074002438,1.1924157925997563,49.52810810885488,21.403620653316505,1.193123,1.1928656666666666
19,2017-11-27 01:35:00,1.19274,1.19278,1.19258,1.19264,GBPUSD,35,1,0,48,11,2017,27,-2.045948458827356e-05,1.193558800973665,1.1923761990263353,48.042098617259704,20.756375607999065,1.193092,1.192867
20,2017-11-27 01:40:00,1.19263,1.19274,1.19241,1.19264,GBPUSD,40,1,0,48,11,2017,27,-3.639884496572443e-05,1.1935632251556638,1.192345774844336,48.0420986172597,20.246805765991517,1.1930629999999998,1.1928699999999999
21,2017-11-27 01:45:00,1.19264,1.19267,1.19253,1.19257,GBPUSD,45,1,0,48,11,2017,27,-5.178777205043392e-05,1.1935713385864641,1.192307661413536,47.28301172213505,19.754221585384222,1.1930206666666667,1.1928721666666666
22,2017-11-27 01:50:00,1.19257,1.19261,1.19257,1.19261,GBPUSD,50,1,0,48,11,2017,27,-6.526877377787032e-05,1.1935757213687677,1.1922922786312322,47.770840891797704,19.27805687746384,1.192991,1.1928735000000001
23,2017-11-27 01:55:00,1.19261,1.19275,1.19256,1.19273,GBPUSD,55,1,0,48,11,2017,27,-7.478393781465016e-05,1.1935634896137393,1.192272510386261,49.228910210151064,18.700617999143116,1.192964666666667,1.1928768333333333
24,2017-11-27 02:00:00,1.19273,1.19302,1.19255,1.19255,GBPUSD,0,2,0,48,11,2017,27,-8.401593814643903e-05,1.1935698308050449,1.192240169194955,47.184901661740255,18.217493481509507,1.1929333333333332,1.1928771666666664
25,2017-11-27 02:05:00,1.19256,1.1927,1.19229,1.19229,GBPUSD,5,2,0,48,11,2017,27,-9.654315907163556e-05,1.193599272737502,1.1921657272624981,44.428465736760465,17.662623820922867,1.1928956666666666,1.1928753333333333
26,2017-11-27 02:10:00,1.1923,1.19234,1.19215,1.19231,GBPUSD,10,2,0,48,11,2017,27,-0.00010993993309725852,1.1935966904067337,1.1920903095932662,44.68560177228321,17.230872085270825,1.1928766666666666,1.1928736666666666
27,2017-11-27 02:15:00,1.1923,1.19236,1.19219,1.1923,GBPUSD,15,2,0,48,11,2017,27,-0.0001230884139421208,1.1935838177486038,1.192023182251396,44.57890942808499,16.796447122646605,1.1928453333333333,1.1928718333333335
28,2017-11-27 02:20:00,1.19229,1.19235,1.19214,1.19219,GBPUSD,20,2,0,48,11,2017,27,-0.00013686644670023195,1.1935161848007687,1.191969815199231,43.39975981058254,16.417366049585453,1.1928189999999999,1.1928678333333333
29,2017-11-27 02:25:00,1.1922,1.19229,1.19211,1.19213,GBPUSD,25,2,0,48,11,2017,27,-0.0001509621217968051,1.1934412464969502,1.1919207535030496,42.76153369653059,16.07679951070381,1.192789,1.1928613333333333
30,2017-11-27 02:30:00,1.19213,1.19242,1.19212,1.19232,GBPUSD,30,2,0,48,11,2017,27,-0.00016114255813335827,1.1933020518630497,1.1919449481369504,45.392210228336516,15.617073980937787,1.1927696666666667,1.1928575
31,2017-11-27 02:35:00,1.19231,1.19241,1.19215,1.19231,GBPUSD,35,2,0,48,11,2017,27,-0.00016812759104455047,1.1931198367866651,1.192009163213335,45.278906279557496,15.172672635497294,1.192751,1.1928543333333332
32,2017-11-27 02:40:00,1.19232,1.19237,1.19223,1.19227,GBPUSD,40,2,0,48,11,2017,27,-0.00017299861987599683,1.1929967043836913,1.192038295616309,44.816013732152555,14.743084668238152,1.192736,1.1928480000000001
33,2017-11-27 02:45:00,1.19227,1.19231,1.19204,1.19226,GBPUSD,45,2,0,48,11,2017,27,-0.0001760545298358717,1.1929088679556508,1.192050132044349,44.69783644170159,14.522479141736206,1.1927096666666666,1.1928401666666668
34,2017-11-27 02:50:00,1.19226,1.19226,1.19164,1.19178,GBPUSD,50,2,0,48,11,2017,27,-0.0001850694183744785,1.1929352930285924,1.1919227069714076,39.522804316850674,14.654608613504763,1.1926753333333333,1.1928278333333333
35,2017-11-27 02:55:00,1.19179,1.19193,1.19127,1.19155,GBPUSD,55,2,0,48,11,2017,27,-0.00020059440891730525,1.1929871772861425,1.1917508227138576,37.37769738102433,15.041520555181862,1.1926356666666669,1.1928095
36,2017-11-27 03:00:00,1.19155,1.19184,1.1913,1.19164,GBPUSD,0,3,0,48,11,2017,27,-0.00021749286694673682,1.1930060412748333,1.1916339587251668,38.72396008828424,15.41553543213639,1.1925873333333334,1.192794
37,2017-11-27 03:05:00,1.19165,1.19172,1.19118,1.19119,GBPUSD,5,3,0,48,11,2017,27,-0.00024105011963647713,1.1930963791675353,1.1914096208324647,34.84886244329134,15.852597501405494,1.1925236666666668,1.1927703333333333
38,2017-11-27 03:10:00,1.19119,1.19185,1.19117,1.19184,GBPUSD,10,3,0,48,11,2017,27,-0.0002566262933520495,1.193030273842597,1.1913817261574031,43.32365067125433,16.13680383205595,1.1924716666666666,1.1927581666666667
39,2017-11-27 03:15:00,1.19185,1.19186,1.19142,1.1915,GBPUSD,15,3,0,48,11,2017,27,-0.000271223150813029,1.193004001384546,1.1912939986154538,40.474734456680075,16.401291201788272,1.1924093333333332,1.1927388333333333
